message,polarity,polarity classification
sleepy and nervous for the say,-0.55,-1
sleepy but motivate,0.2,1
sleepy ache calm,-0.03333333333333333,-1
sleepy but okay,0.0,0
sleepy and sad,-0.55,-1
sleepy but productive,0.2,1
sleepy lazy productive,-0.3666666666666667,-1
in a little sleepy because i just woke up but excited for six flag,0.45,1
id sleepy,-0.1,-1
sleepy of,-0.1,-1
a little sleepy but happy,0.45,1
can sleep feeling tired,-0.3,-1
sleepy done with this shit,-0.45,-1
sleepy ,-0.1,-1
sleepy but haven slept yet,-0.1,-1
sleepy slow low energy,-0.3,-1
sleepy a little,-0.1,-1
in sleepy but in doing well,-0.1,-1
sleepy i just woke up,-0.1,-1
angry,-1.0,-1
mad,-1.0,-1
passed,-1.0,-1
passed off,-1.0,-1
aggravated,-1.0,-1
betrayed,-1.0,-1
defeated,-1.0,-1
angry and frustrated,-0.9,-1
angry and sad,-1.0,-1
disgusted,-1.0,-1
resentful,-1.0,-1
a bit angry,-1.0,-1
in furious,-1.0,-1
furious,-1.0,-1
i hate myself,-1.0,-1
angry sad tired,-0.8333333333333334,-1
in feeling defeated,-1.0,-1
angry at myself,-1.0,-1
contempt,-1.0,-1
missed up,-1.0,-1
very angry,-1.0,-1
hate myself,-1.0,-1
in angry,-1.0,-1
angry a hell,-1.0,-1
angry depressed,-1.0,-1
hate,-1.0,-1
angry and confused,-0.55,-1
i feel angry,-1.0,-1
passed off at tales,-1.0,-1
angry and depressed,-1.0,-1
anger,-1.0,-1
a little angry and anxious i miss someone,-1.0,-1
i feel a little defeated,-1.0,-1
a little bit angry,-1.0,-1
hate it,-1.0,-1
powerlessness self disgust,-1.0,-1
angry and frustrated,-0.9,-1
angry a bit dejected,-1.0,-1
passed off i broke up w my of this morning its been coming him going out of town to see my family tomorrow been planned she pulled some drama this morning it wa enough for me,-1.0,-1
a bit angry but ok,-1.0,-1
i wa angry used some visualization about my vacation to calm down,-1.0,-1
disgusted powerless,-1.0,-1
angry furious sick,-0.6,-1
in angry because righting government is changing my country to place i wouldn like to live,-1.0,-1
i hate it here,-1.0,-1
kind angry,-1.0,-1
mad off,-1.0,-1
in a little mad,-1.0,-1
contempt kind happy but also a bit empty i suppose,-0.8,-1
angry confused lonely under appreciated,-0.525,-1
angry and aggravated,-1.0,-1
i wa angry before,-1.0,-1
angrynsadnregretnbetrayednbroken trust,-0.9400000000000001,-1
i feel defeated i feel like he robbing me of who i really am i feel stuck i really dont love or like him anymore but i have to get married sometime and in not getting any younger i feel like in definitely settling i dont like being alive i think it unfair that we a people are not allowed to kill ourselves besides it my life and my choice,-1.0,-1
in passed off but in also sad she been my whole life for awhile now,-1.0,-1
angry annoyed upsetdepressed,-0.925,-1
angry frustrated depressed irritated self loathing,-0.9333333333333333,-1
all kind of emotion i am angry at the entertainment manager her at camp i am tired after learning a new difficult pp and some path and i am happy because i made some progress on one of my project,-0.65,-1
in feeling angry and confused,-0.55,-1
i am unable to do choice and i feel that my kindness is understand like weakness i observed how a couple friend are lying to me and i am a little angry for this my job also doe not show to much opportunity,-1.0,-1
i hate my life,-1.0,-1
angry annoyed calm,-0.26666666666666666,-1
angry and frustrated and sad,-0.9333333333333333,-1
in angry and passed,-1.0,-1
feeling a little angry,-1.0,-1
in feeling angry because my cousin is selfish,-1.0,-1
i dislike everything and myself,-1.0,-1
angry and upset,-0.95,-1
preoccupied a bit sad and mad,-1.0,-1
i am passed off,-1.0,-1
passed but good,-1.0,-1
in kind of angry,-1.0,-1
angry a little,-1.0,-1
mad and sad about marine and remembered how i used to be a lady man,-1.0,-1
angry desperate ill,-1.0,-1
like everyone hate me i feel like i bother people and their life,-1.0,-1
i am angry and very sad,-1.0,-1
angry annoyed disappointed fat,-0.85,-1
betrayed disappointed but not surprised,-0.8,-1
angry and upset betrayed,-0.9,-1
angry stressed sad,-0.7,-1
a bit mad at myself for sleeping all day,-0.55,-1
furious angry,-1.0,-1
in feeling angry and worriednnnangry because i told my teacher in ready to take an exam for my class i didn check back till later on i noticed she said it on i went to take it but it want there i told her it not there she ignored me for the rest of the day him worried because now my mon is donna ask how is school going i wont know what to say cause now in missing a test and this is her fault i missed it plus i might forget what give been learning in the future and in about to be 18 in one year in donna be stuck with nothing ,-1.0,-1
angry and sad at the same time,-1.0,-1
angry at a fucking pp,-1.0,-1
pretty erratic angry and tense,-0.55,-1
angry disappointed overwhelmed sad,-1.0,-1
a little bitter,-1.0,-1
a bit defeated again a little anxious,-1.0,-1
bitter,-1.0,-1
preoccupied but better,0.2,1
mad and irritated,-0.9,-1
a bit mad,-1.0,-1
i am angry and sad,-1.0,-1
hate my life,-1.0,-1
passed but ok,-1.0,-1
i feel like i missed unlike in falling back into my addition,-1.0,-1
angry and doubting,-0.75,-1
angry about tramp eager for people to go to prison,0.0,0
frustrated,-0.8,-1
annoyed,-0.8,-1
upset,-0.8,-1
irritated,-0.8,-1
agitated,-0.8,-1
impatient,-0.8,-1
fed up,-0.8,-1
grumpy,-0.8,-1
moody,-0.8,-1
irritable,-0.8,-1
jealous,-0.8,-1
exasperated,-0.8,-1
i feel upset,-0.8,-1
cranks,-0.8,-1
a little annoyed,-0.8,-1
in upset,-0.8,-1
a little frustrated,-0.8,-1
slightly irritated,-0.8,-1
annoyed and tired,-0.65,-1
slightly annoyed,-0.8,-1
frustrated and annoyed,-0.8,-1
i feel annoyed,-0.8,-1
very upset,-0.8,-1
a bit frustrated,-0.8,-1
frustrated and sad,-0.9,-1
irritated and tired,-0.65,-1
a little irritated,-0.8,-1
frustrated and tired,-0.65,-1
kind upset,-0.8500000000000001,-1
upset and migrate,-0.9,-1
a bit annoyed,-0.8,-1
i feel frustrated,-0.8,-1
in annoyed,-0.8,-1
a little bit frustrated,-0.8,-1
upset and depressed,-0.9,-1
irritated and depressed,-0.9,-1
upset at date cancellation,-0.8,-1
a little upset,-0.8,-1
disgruntled,-0.8,-1
frustrated but good,-0.8,-1
frustrated but optimistic,-0.8,-1
utf woot,-0.8,-1
i feel a little impatient waiting and a little sad because in stuck inside all weekend waiting for my foot to heal,-0.9,-1
annoyed and irritable,-0.8,-1
a little cranks,-0.8,-1
in currently irritable thing that i usually enjoy are annoying me it feel like sandpaper on my brain feel like in constantly losing at life in drowning in the thing i should be doing but have absolutely no motivation to do them,-0.8,-1
frustrated angry and discouraged,-0.9,-1
upset and sad,-0.95,-1
frustrated but okay,-0.35000000000000003,-1
annoyed bc i feel fat,-0.9,-1
i am agitated and anxious not good,-0.9333333333333333,-1
little irritated and anxious,-0.9,-1
i am frustrated tired and in physical pain,-0.7666666666666667,-1
a little frustrated with people in working with but over all pretty content,0.09999999999999998,1
upset and disappointed,-0.8500000000000001,-1
annoyed overwhelmed grumpy,-0.9,-1
struggling to concentrate at work and feeling fed up at so many issue,-0.8,-1
slightly annoyed and angry but overall in good,-0.8,-1
annoyed that my ex wont reply to me hata,-0.8,-1
annoyed because of all the stuff i do for her and the little recognition i get and how i have to do it without question a little down too,-0.8,-1
really fucking annoyed,-0.8,-1
i am tried and getting a little irritated,-0.65,-1
upset and hurt,-0.95,-1
i feel irritated,-0.8,-1
i feel exasperated,-0.8,-1
a little annoyed and exasperated at the course in putting a lot of work on myself,-0.8,-1
frustrated and mildly angry,-0.8,-1
i am a bit frustrated because i dont know what i am supposed to do but besides that i am feeling pretty okay,-0.35000000000000003,-1
slightly impatient,-0.8,-1
slightly agitated,-0.8,-1
frustrated sad overwhelmed,-0.9333333333333333,-1
in pretty irritable and annoyed by everyone right now and i need alone time but no one will give me any,-0.8,-1
upset and scared,-0.95,-1
sexually frustrated bored,-0.45,-1
upset sad angry disappointed pessimistic,-0.925,-1
a little be impatient,-0.8,-1
a bit agitated,-0.8,-1
frustrated and tired and impatient,-0.65,-1
frustrated worried disappointed,-0.8,-1
upset and angry,-0.95,-1
very very very very upset,-0.9,-1
impatient and tired and disillusioned,-0.65,-1
i feel upset but nervous in a good way,-0.95,-1
in frustrated and hot,-0.65,-1
annoyed stressed angry,-0.6333333333333333,-1
annoyed but happy,0.09999999999999998,1
critical,-0.8,-1
upset confused insecure ensure,-0.5,-1
frustrated and discouraged,-0.8,-1
upset and lonely,-0.65,-1
bit fed up but ok,-0.35000000000000003,-1
earlier today i had a fight with my boyfriend and i wa pretty upset but we made up and in feeling better now,-0.8,-1
annoyed angry,-0.9,-1
fed up and frustrated,-0.8,-1
a little annoyed but good otherwise,-0.8,-1
grumpy tired frustrated lonely,-0.6,-1
frustrated and disrespected,-0.8500000000000001,-1
a little agitated,-0.8,-1
i feel upset i am unlucky,-0.8,-1
in feeling a little annoyed and anxious about a social situation in going to,-0.9,-1
better,0.2,1
in feeling better,0.2,1
better than yesterday,0.2,1
a little better,0.2,1
could be better,0.2,1
a bit better than yesterday i feel more awake but also still a bit lame,0.2,1
better than average,0.2,1
happier,0.2,1
getting better,0.2,1
a bit better,0.2,1
i feel better than this morning,0.2,1
calmer,0.2,1
i feel calmer than the other day because some feeling settled with my crush,0.2,1
in feeling better than last night,0.2,1
a little bit better,0.2,1
i am feeling better relaxed,0.2,1
wa feeling a better in the afternoon but then again deep sad,0.2,1
in feeling better than yesterday,0.2,1
better i think,0.2,1
in doing better then this morning,0.2,1
better but trying to chill,0.2,1
better relatively calm,0.2,1
some better after awful yesterday,0.2,1
a lot better than yesterday,0.2,1
feeling better still a bit sick but improving,0.0,0
feeling much better than earlier this week happy that i get to take some time offvacation soon and feeling good that madison is returning tonight,0.2,1
better than usual but a bit numb,-0.19999999999999998,-1
better a little happier,0.2,1
i am getting better at controlling my emotion,0.2,1
i wish i wa a happier person,-1.0,-1
feeling better than i have lately,0.2,1
in doing much better not so sad,0.2,1
better than okay,0.2,1
slightly better,0.2,1
give feel better than yesterday,0.2,1
i am feeling slightly better than normal,0.2,1
better than expected,0.2,1
feeling better,0.2,1
it getting better,0.2,1
slept longer so better,0.2,1
better than earlier,0.2,1
a little bit better then arrange and better then usual after chatting with ex,0.2,1
better than earlier relax,0.2,1
somewhat better,0.2,1
there is some event that make me feel better but in still not sure about it,0.2,1
trying to find purpose in my life weekend are tough for me i feel better during the week when i have the focus and distraction of work,0.2,1
better alright,0.2,1
i feel much better than yesterday and in excited bc in going to canada on friday,0.2,1
in feeling a little better in learning a lot about my thoughts and feeling i still get anxious about stuff but so far this day it not bad,0.2,1
better than good,0.2,1
i need to get better higher energy,0.2,1
better than yesterday,0.2,1
in trying to be realistic about my need to do and be better,0.2,1
in feeling better than the last time but it still feel like something is wrong in my life,0.2,1
a bit better today,0.2,1
better than before natleast i dont have that much of nativity now,0.2,1
calmer disappointed,-0.19999999999999998,-1
feeling a bit better,0.2,1
in feeling better maybe even good,0.2,1
feeling better about housing now that i have a short term place of stay,0.2,1
i feel better,0.2,1
calmer ,0.2,1
a bit better than yesterday more grounded and positive still a bit low tough,0.2,1
in feeling better than i wa an hour or two ago,0.2,1
better in annoyed at rachel i hate it when people agent willing to defend their position also i miss lip and wish he would call me,-0.30000000000000004,-1
feeling a lot better trying harder to keep house clean and organized,0.2,1
getting better from my sickness,0.0,0
in doing better today not one hundred percent but in better than yesterday,0.2,1
calmer than usual,0.2,1
feeling better now,0.2,1
getting ready to go sleep mood is better than earlier today,0.05,1
better lighter calmer on the inside i had a good sleep and went to the grm and have thing to look forward to today,0.2,1
improving i feel better today,0.2,1
happier bored,0.05,1
better than yesterday but in still feeling a little bit down,0.2,1
much better than earlier today,0.2,1
been better,0.2,1
much better,0.2,1
better than these day,0.2,1
normal,0.0,0
average,0.0,0
so so,0.0,0
bah,0.0,0
soto,0.0,0
middle,0.0,0
mediocre,0.0,0
mild,0.0,0
moderate,0.0,0
in feeling normal,0.0,0
wish,0.0,0
i feel normal,0.0,0
middle of the road,0.0,0
middling,0.0,0
plain,0.0,0
pretty normal,0.0,0
it normal,0.0,0
below average,0.0,0
i feel pretty normal,0.0,0
kind bah,0.0,0
normal i guess,0.0,0
a little bah,0.0,0
despite the situation in kind normal i think better than previous day,0.1,1
feeling average,0.0,0
coming,0.0,0
pretty average,0.0,0
standard,0.0,0
just normal,0.0,0
normal confused,0.0,0
middle energy sore muscle feel like relaxing,0.0,0
normal a little passed at mon,0.0,0
pretty mediocre,0.0,0
pretty average tired not motive,-0.43333333333333335,-1
pretty normal looking forward to the next few week,0.5,1
so i woke up ate breakfast and in feeling normally all the time,0.0,0
wish anxious a bit,-0.5,-1
normal na little worn out,0.0,0
i feel a tiny bit below normal,0.0,0
normal,0.0,0
middle feeling a bit apprehensive,0.0,0
pretty average had some low today where i felt quite guilty but they passed quite quickly other than that give been feeling just fine,0.0,0
5050 due to waking up,0.0,0
perfectly normal,0.0,0
normal excited,0.5,1
normal and mad,-0.5,-1
pretty normal for now,0.0,0
pretty bah i have a kidney infection,0.0,0
just kind bah,0.0,0
middle again,0.0,0
my energy is middle,0.0,0
feeling so so,0.0,0
i feel pretty average not good and not bad,0.0,0
all right pretty much middle of the road,0.0,0
fairly average maybe a bit low,0.0,0
bah not happy not excited,0.0,0
in just feeling normal a little board,0.0,0
average i dont feel a down a i did a week ago,0.0,0
in feeling normal,0.0,0
average nothing special,0.0,0
i feel pretty normal today and maybe a little happier than usual,0.0,0
i feel i normal emotion just come and go and all i need to learn is to sit with them,0.0,0
sort of bah,0.0,0
bah with a minor overwhelming feeling,0.0,0
in kind of in the middle fine,0.0,0
so so happy to be home,1.0,1
normal a bit anxious,-0.5,-1
middle a little tired,-0.25,-1
kind normal,0.0,0
normal nothing special today,0.0,0
average to good,0.0,0
they have been moderate,0.0,0
in doing so so right now,0.0,0
feeling normal a bit tired,-0.25,-1
mediocre still craving something new and different,0.0,0
average i guess,0.0,0
mostly plain,0.0,0
middle to up,0.0,0
almost normal so so,0.0,0
i am average,0.0,0
mediocre in not feeling very negative about life school wa fine nothing particularly distressful happened but give been on edge and feeling really sensitive after school i went to the shop and felt insanely anxious finding it hard to calm down after a few distressful encounter,0.0,0
i feel normal little bored of the work and i fell that i underestimate myself i feel like i should be doing more than what i do right now,-0.05,-1
in feeling pretty bah and a little bit anxious over some client work in putting off,-0.5,-1
normal id like to be home though,0.0,0
normal and even,0.0,0
normal a little anxious about the sleep i may not have in the future,-0.5,-1
normal a little under the weather due to cold and fly,-0.1,-1
pretty soto,0.0,0
normally,0.0,0
bah but feel i can accept the situation,0.0,0
middle energy but relaxed,0.5,1
middle mood,0.0,0
mild stress,0.0,0
5050,0.0,0
blast,0.0,0
middle it not bad i am trying to make some plan i dont know yet what i am going to do this summer so i am thinking a lot,0.0,0
in average,0.0,0
normal a little drunk maybe,0.0,0
blew average,0.0,0
i feed so so so sad and can breathe,0.0,0
me,-0.3,-1
eh,-0.3,-1
nothing,-0.3,-1
empty,-0.3,-1
flat,-0.3,-1
eh,-0.3,-1
nothing special,-0.3,-1
blank,-0.3,-1
dull,-0.3,-1
dead,-0.3,-1
motionless,-0.3,-1
i feel nothing,-0.3,-1
none,-0.3,-1
enthusiastic,-0.3,-1
i feel empty,-0.44999999999999996,-1
i dont feel anything,-0.3,-1
dead inside,-0.3,-1
hollow,-0.3,-1
each,-0.3,-1
kind empty,-0.44999999999999996,-1
bland,-0.3,-1
i am feeling empty,-0.44999999999999996,-1
in not feeling anything,-0.3,-1
in feeling empty,-0.44999999999999996,-1
nothing much,-0.3,-1
emptiness,-0.44999999999999996,-1
nothing in particular,-0.3,-1
whatever,-0.3,-1
in feeling me,-0.3,-1
a bit flat,-0.3,-1
nothing really,-0.3,-1
flat low mood and lacking energy,-0.3,-1
pretty me give been pretty motionless and dissociated,-0.3,-1
eh ltd vs feu get go fuck,-0.3,-1
dull numb maybe,-0.3,-1
a bit empty,-0.44999999999999996,-1
me in not sure,-0.3,-1
seems nothing interest me,-0.3,-1
flat but okay,-0.3,-1
eh in ok,-0.3,-1
me okay,-0.3,-1
actually nothing,-0.3,-1
me ,-0.3,-1
me a little sad down on myself,-0.65,-1
my grandfather is dead in sad,-0.7666666666666666,-1
in empty and bored,-0.44999999999999996,-1
me in ok nothing bad just neutral,-0.3,-1
eh fine,-0.3,-1
feeling quite flat,-0.3,-1
none of these,-0.3,-1
empty and vulnerable,-0.5666666666666667,-1
enthusiastic and stressed,-0.3,-1
in feeling empty and numb and confused,-0.3,-1
in a bit empty,-0.44999999999999996,-1
a bit me,-0.3,-1
empty,-0.44999999999999996,-1
hm me i think,-0.3,-1
me in not sad but in not shipper either,-0.3,-1
eh to try u do un,-0.3,-1
nothing special quite happy i guess,-0.3,-1
in feeling nothing,-0.3,-1
a little hollow and in not up to doing much,-0.3,-1
me in quitting smoking,-0.3,-1
i feel a little flat,-0.3,-1
nothing just watching to,-0.3,-1
it a eh,-0.3,-1
honestly i feel empty inside,-0.3,-1
nothing much at all kind me,-0.3,-1
empty bored lonely unable to improve unable to live a good life,-0.375,-1
empty i thin,-0.44999999999999996,-1
so robotic,-0.3,-1
in all honesty empty,-0.44999999999999996,-1
empty but not in a bad way necessarily,-0.44999999999999996,-1
empty once more,-0.44999999999999996,-1
me i just want these edit to finish so i can come home and asleep,-0.3,-1
eh and tired,-0.4,-1
eh i feel sad but i dont know why,-1.0,-1
empty and sad,-0.6333333333333333,-1
kind of me overall but excited to dance with fire,-0.3,-1
me not good not bad,-0.3,-1
no emotion,-0.3,-1
eh it ok,-0.3,-1
just me,-0.3,-1
nothing at all,-0.3,-1
eh kind annoyed,-0.55,-1
nothing to complain about,-0.3,-1
me fine i think,-0.3,-1
hollow deep sense of nothing,-0.3,-1
tiresome feeling of emptiness and lacking social connection with terrible boredom,-0.4666666666666667,-1
just relaxingcooler than usual whatever i be we he,0.35,1
another me day,-0.3,-1
motionless ahahah,-0.3,-1
me missed my dr appointment so now i have to get up super early for the walk in clinic,-0.3,-1
there is nothing i can do,-0.3,-1
like nothing is worth doing and it painless trying,-1.0,-1
i am feeling nothing,-0.3,-1
pretty blank tired sad,-0.6,-1
feeling flat neutral,-0.3,-1
very flat and wiped,-0.3,-1
scared,-1.0,-1
afraid,-1.0,-1
terrified,-1.0,-1
fearful,-1.0,-1
scared sad remorseful,-0.9333333333333333,-1
scared but excited,0.0,0
scared stressing,-0.55,-1
scared depressed self conscious,-1.0,-1
scared stressed worried,-0.7,-1
scared shake,-1.0,-1
my body hurt in a little scared,-1.0,-1
scared and angry,-1.0,-1
scared i wont do well at work,-1.0,-1
scared about body,-1.0,-1
in scared,-1.0,-1
she literally scared the fuck out of me anxious scared n worried,-1.0,-1
scared lonely no one trust me,-0.75,-1
scared because my cat is sick,-1.0,-1
a little scared happy,0.0,0
scared prepared and nervous,-1.0,-1
kind of scared and sad,-1.0,-1
a little bit scared but still pretty relaxed,0.0,0
scared and alone,-0.75,-1
a mix between expiration and fear,0.0,0
in afraid i shouldn be but i am because thing seem to go wrong when i least expect them to,-1.0,-1
in feeling fearful and sad,-1.0,-1
afraid of people,-1.0,-1
a little scared,-1.0,-1
a bit scared agitated inspired,-0.26666666666666666,-1
with fear,-1.0,-1
frightened,-1.0,-1
scared about husband,-1.0,-1
fear,-1.0,-1
afraid life will pas me by,-1.0,-1
terrified scared,-1.0,-1
scared and i dont know what to do,-1.0,-1
i am feeling afraid,-1.0,-1
scared and lonely and shake,-0.7666666666666667,-1
in afraid to ask because i dont know what will happen,-1.0,-1
scared but ill be fine soon,-1.0,-1
scared anxious unwell,-0.7333333333333334,-1
i am scared,-1.0,-1
scare,-1.0,-1
scared lonely,-0.75,-1
lazy,-0.2,-1
a bit lazy,-0.2,-1
i feel a little lazy and dont want to do cook,-0.2,-1
i am feeling lazy,-0.2,-1
lazy inadequate face smiling anxious selfpity ensure embarrassed nonsocial,-0.2,-1
lazy avoiding but justified,-0.2,-1
feeling lazy,-0.2,-1
lazy unmotivated,-0.5,-1
in feeling a bit lazy and productive,-0.5,-1
feeling a it of lazy since morning sleepy,-0.15000000000000002,-1
i am lazy from a night with little sleep,-0.15000000000000002,-1
lazy and hopeless,-0.6,-1
i feel a little lazy,-0.2,-1
lazy buggy,-0.2,-1
lazy and annoyed,-0.5,-1
body is lazy and feel sad,-0.6,-1
very lazy,-0.2,-1
lazy unmotivated,-0.5,-1
lazy tired bored,-0.26666666666666666,-1
lazy guilt disappointment,-0.5333333333333333,-1
i feel lazy,-0.2,-1
lazy happy,0.4,1
lazy,-0.2,-1
lazy productive calm,-1.850371707708594e-17,-1
lazy havana,-0.2,-1
in feeling lazy,-0.2,-1
confused,-0.1,-1
mixed,-0.1,-1
lost,-0.1,-1
conflict,-0.1,-1
weird,-0.1,-1
complicated,-0.1,-1
mixed feeling,-0.1,-1
confuse,-0.1,-1
strange,-0.1,-1
confusing,-0.1,-1
ambivalent,-0.1,-1
resistant,-0.1,-1
mixed emotion,-0.1,-1
puzzled,-0.1,-1
perplexed,-0.1,-1
disillusioned,-0.1,-1
blocked,-0.1,-1
i feel lost,-0.1,-1
wrapped,-0.1,-1
a bit lost,-0.1,-1
a bit weird,-0.1,-1
in confused,-0.1,-1
wired,-0.1,-1
torn,-0.1,-1
a little odd but generally good,-0.1,-1
confused and concerned about her,-0.1,-1
a little confused about a relationship with a girl i dont know if in in love and i should do something or keep being friend and keep my current relationship with my current wife,-0.1,-1
i have mixed feeling bad one from my family and good one from everything else,-0.1,-1
my hand feel weird but i dont feel too bad,-0.1,-1
it a mixed bag in happy with how thing are going with kilroy in thankful for the close friend and family in my life in rather annoyed at one person in a particular though because she act in presumptuous entitled and malicious way,0.03333333333333332,1
dazed,-0.1,-1
weird thinking about something i shouldn be,-0.1,-1
i am feeling a bit lost,-0.1,-1
conflict because i know i love her but the situation is really complicated,-0.1,-1
lost empty sad depressed broke,-0.6,-1
confused sad lonely tired,-0.525,-1
i feel sort of a little confused and guilty,-0.45,-1
confused and frustrated,-0.45,-1
confused by other people action lonely,-0.3,-1
it wa strange people use interesting a a backhanded comment sarcastic,-0.1,-1
in just so lost,-0.1,-1
conflict my ex posted a cut picture of herself,-0.1,-1
i feel weird confused in a little angry,-0.55,-1
conflict and tired,-0.3,-1
a little mixed happy in my personal life but i wanting to achieve more professionally,-0.3,-1
in feeling conflict,-0.1,-1
confused grumpy frustrated but also happy to have enough time to rest and relax,-0.225,-1
justified,-0.1,-1
in confused and scared,-0.55,-1
a little weird,-0.1,-1
mixed here,-0.1,-1
i feel like my family is being torn apart,-0.1,-1
a little lost not very focused hard to start thing but once i start them in good,-0.1,-1
confused and thoughtful,0.0,0
mixed state,-0.1,-1
mixed depressed but glad to meet you,-0.55,-1
confused about the future,-0.55,-1
perplex,-0.1,-1
puzzled and confused,-0.1,-1
mixed but enjoying the breeze,-0.1,-1
lost not stress accomplished,-0.1,-1
confused about this boy,-0.1,-1
confused my friend asked me what my ideal hair colour are and what my favourite colour are with no explanation,-0.1,-1
conflict excited nervous,-0.03333333333333333,-1
in confused and depressed,-0.55,-1
lost and tired,-0.3,-1
confused about my marriage,-0.1,-1
keep me confused all time,-0.1,-1
in a little confused  on some thing but content,-0.1,-1
confused devastated worried upset numb,-0.65,-1
kind weird in involved in a lot at work which is awesome but i am starting to have observance issue with my girlfriend which kind put a went in my high,-0.1,-1
confused and overthinking,-0.55,-1
it too complicated to talk,-0.1,-1
mixed emotion happy yet a ll afraid,-0.03333333333333333,-1
a lot of mixed emotion,-0.1,-1
confused but okay,0.0,0
am simply mixed ,-0.1,-1
pitched it weird,-0.1,-1
lost a if,-0.1,-1
i just feel a bit weird like everything is sort of useless but it doesn necessarily depress me,-0.1,-1
lost and hopeless,-1.0,-1
bit confused and resistant,-0.1,-1
conflict a bit sad,-0.1,-1
lost my brother last week so i am sad,-1.0,-1
feel strange,-0.1,-1
confused sad angry,-0.7,-1
feeling lost,-0.1,-1
confused and stressed,-0.1,-1
bit confused and upset,-0.5,-1
confused and uneasy,-0.3,-1
conflict but not bad,0.0,0
confused and nervous,-0.55,-1
conflict happy because i had a good weekend with a guy i like anxious because the work week ha started and there a lot of pressure,0.26666666666666666,1
i feel confused about how in doing it so variable sometimes i am furious sometimes in ok but it hard to even believe when thing feel fine it feel face a little or temporary in daydreaming a lot about moving to scotland in so angry life go on regardless of where in at it seems,-0.3333333333333333,-1
perplexed a ensure which country to live in,-0.1,-1
confused and scared,-0.55,-1
confused dejected,-0.1,-1
just off weird and lethargy,-0.1,-1
a bit confused a bit anxious,-0.55,-1
in feeling mixed up,-0.1,-1
productive,0.5,1
accomplished,0.5,1
determined,0.5,1
ambitious,0.5,1
concentrated,0.5,1
driven,0.5,1
not productive,0.5,1
ready to work,0.5,1
ready for work,0.5,1
i feel productive,0.5,1
like i got thing accomplished today,0.5,1
accomplished and good,0.5,1
productive and proud,0.75,1
i am not studying and not happy people are asking thing about my career that i dont like,-0.9,-1
accomplished tired,0.0,0
productive happy,0.75,1
i am determined but skeptically on my future direction,0.0,0
productive and happy,0.75,1
accomplished from last night,0.5,1
accomplished and calm,0.75,1
i feel that i have accomplished nothing today,-0.5,-1
accomplished but exhausted,0.0,0
in feeling productive but tired after a long day,0.0,0
ready to be productive and to have a good friday,0.5,1
studying,0.5,1
productive day working from home,0.5,1
determined to finish it and make it good,0.5,1
accomplished successful patient,0.5,1
feeling determined,0.5,1
feeling fairly productive,0.5,1
feeling productive,0.5,1
accomplished and tired,0.5,1
in determined,0.5,1
like i accomplished a lot today and had fun and relaxed,0.5,1
productive and inspired,0.75,1
in feeling accomplished and anxious,-0.25,-1
in trying to be productive,0.5,1
i feel accomplished because i cleaned my room today,0.5,1
determined to get back to poland,0.5,1
productive hungry and content,0.4666666666666667,1
in just trying to be productive,0.5,1
wanting to be productive,0.5,1
i feel like i did not accomplish  lot of thing in my work and in my personal life,0.5,1
i feel accomplished happy and a little tired,0.3333333333333333,1
determined and ready to fight ll,0.5,1
i feel determined will regain the necessary performance,0.5,1
accomplished but tired,0.0,0
determined to do well on the exam,0.5,1
accomplished nervous,-0.25,-1
feeling accomplished,0.5,1
in feeling accomplished and a little worried and sad,-0.5,-1
i feel productive and neutral,0.3,1
determined to succeed,0.5,1
concentrated anticipated and worry how manage all my task,0.5,1
i am feeling productive,0.5,1
i feel determined,0.5,1
in feeling accomplished but in also really exhausted,0.0,0
accomplished and frustrated,-0.15000000000000002,-1
feeling productive indifferent normal,0.3,1
accomplished and getting my reward,0.75,1
accomplished and worried,-0.25,-1
productive and useful,0.5,1
productive and thrifty,0.5,1
not productive tired and work down,-0.65,-1
got a lot accomplished today and feel good but in just tired from the physical work,0.5,1
driven game,0.5,1
productive happy a little uneasy,0.3333333333333333,1
accomplished yet apprehensive,-0.25,-1
semi productive,0.5,1
hungry,-0.1,-1
i feel hungry,-0.1,-1
in hungry,-0.1,-1
hungry and tired,-0.3,-1
in feeling hungry,-0.1,-1
hungry and bored,-0.1,-1
hungry and happy,0.45,1
angry,-0.1,-1
hungry  and i can feel that give made a good lookout today,-0.1,-1
hungry and optimistic,-0.1,-1
hungry restless,-0.15000000000000002,-1
hungry sad for down,-0.1,-1
in hungry so imnexcited about cooking something mummy,0.45,1
in a little hungry but i feel all right,-0.1,-1
hungry ,-0.1,-1
in hungry,-0.1,-1
hungry mostly,-0.1,-1
kind hungry and tired,-0.3,-1
hungry and my head hurt,-0.55,-1
out of energy hungry hopeless empty,-0.55,-1
hungry ll,-0.1,-1
hungry and a bit energetic,0.45,1
hungry and excited for the day,0.45,1
in feeling hungry and a little tired,-0.3,-1
hungry but i just woke up,-0.1,-1
i have to eat in hungry ll,-0.1,-1
i am hungry,-0.1,-1
hungry and relaxed,0.45,1
i feel hungry and angry,-0.55,-1
a little tiredworn out i guess and hungry been here for 11 hour and now i need to go home quickly eat and work on my paper edit but such is life i guess,-0.3,-1
in hungry and i am feeling content,0.45,1
in hungry i can eat,-0.1,-1
hungry and both,-0.1,-1
hungry,-0.1,-1
hungry hata,-0.1,-1
feel hungry and agitated,-0.45,-1
